날짜,측정소명,측정소코드,PM10,PM2.5
2023-03-01 01,중구,111121,27,22
2023-03-01 02,중구,111121,27,23
2023-03-01 03,중구,111121,25,22
2023-03-01 04,중구,111121,23,18
2023-03-01 05,중구,111121,26,22
2023-03-01 06,중구,111121,32,30
2023-03-01 07,중구,111121,31,30
2023-03-01 08,중구,111121,33,27
2023-03-01 09,중구,111121,34,33
2023-03-01 10,중구,111121,28,26
2023-03-01 11,중구,111121,23,18
2023-03-01 12,중구,111121,29,18
2023-03-01 13,중구,111121,33,27
2023-03-01 14,중구,111121,43,41
2023-03-01 15,중구,111121,50,40
2023-03-01 16,중구,111121,51,36
2023-03-01 17,중구,111121,42,19
2023-03-01 18,중구,111121,39,15
2023-03-01 19,중구,111121,31,8
2023-03-01 20,중구,111121,29,11
2023-03-01 21,중구,111121,23,11
2023-03-01 22,중구,111121,27,11
2023-03-01 23,중구,111121,28,12
2023-03-01 24,중구,111121,30,16
2023-03-02 01,중구,111121,31,16
2023-03-02 02,중구,111121,31,15
2023-03-02 03,중구,111121,33,12
2023-03-02 04,중구,111121,32,11
2023-03-02 05,중구,111121,43,11
2023-03-02 06,중구,111121,53,9
2023-03-02 07,중구,111121,56,13
2023-03-02 08,중구,111121,60,11
2023-03-02 09,중구,111121,65,11
2023-03-02 10,중구,111121,69,10
2023-03-02 11,중구,111121,76,16
2023-03-02 12,중구,111121,,
2023-03-02 13,중구,111121,,
2023-03-02 14,중구,111121,,
2023-03-02 15,중구,111121,,
2023-03-02 16,중구,111121,,
2023-03-02 17,중구,111121,49,16
2023-03-02 18,중구,111121,46,13
2023-03-02 19,중구,111121,37,9
2023-03-02 20,중구,111121,37,12
2023-03-02 21,중구,111121,35,12
2023-03-02 22,중구,111121,30,12
2023-03-02 23,중구,111121,30,10
2023-03-02 24,중구,111121,28,11
2023-03-03 01,중구,111121,28,12
2023-03-03 02,중구,111121,28,13
2023-03-03 03,중구,111121,30,16
2023-03-03 04,중구,111121,29,15
2023-03-03 05,중구,111121,29,17
2023-03-03 06,중구,111121,29,13
2023-03-03 07,중구,111121,30,14
2023-03-03 08,중구,111121,30,15
2023-03-03 09,중구,111121,36,17
2023-03-03 10,중구,111121,28,10
2023-03-03 11,중구,111121,,
2023-03-03 12,중구,111121,,
2023-03-03 13,중구,111121,39,20
2023-03-03 14,중구,111121,37,15
2023-03-03 15,중구,111121,42,24
2023-03-03 16,중구,111121,44,25
2023-03-03 17,중구,111121,42,23
2023-03-03 18,중구,111121,39,19
2023-03-03 19,중구,111121,39,15
2023-03-03 20,중구,111121,39,19
2023-03-03 21,중구,111121,41,21
2023-03-03 22,중구,111121,43,22
2023-03-03 23,중구,111121,47,24
2023-03-03 24,중구,111121,45,24
2023-03-04 01,중구,111121,44,25
2023-03-04 02,중구,111121,44,25
2023-03-04 03,중구,111121,50,30
2023-03-04 04,중구,111121,52,33
2023-03-04 05,중구,111121,53,34
2023-03-04 06,중구,111121,53,37
2023-03-04 07,중구,111121,59,40
2023-03-04 08,중구,111121,58,39
2023-03-04 09,중구,111121,62,41
2023-03-04 10,중구,111121,64,42
2023-03-04 11,중구,111121,67,45
2023-03-04 12,중구,111121,66,43
2023-03-04 13,중구,111121,73,46
2023-03-04 14,중구,111121,72,48
2023-03-04 15,중구,111121,77,54
2023-03-04 16,중구,111121,79,51
2023-03-04 17,중구,111121,78,54
2023-03-04 18,중구,111121,85,55
2023-03-04 19,중구,111121,82,56
2023-03-04 20,중구,111121,72,50
2023-03-04 21,중구,111121,70,49
2023-03-04 22,중구,111121,72,54
2023-03-04 23,중구,111121,73,55
2023-03-04 24,중구,111121,69,51
2023-03-05 01,중구,111121,74,56
2023-03-05 02,중구,111121,71,56
2023-03-05 03,중구,111121,70,55
2023-03-05 04,중구,111121,65,53
2023-03-05 05,중구,111121,67,55
2023-03-05 06,중구,111121,69,56
2023-03-05 07,중구,111121,70,57
2023-03-05 08,중구,111121,67,53
2023-03-05 09,중구,111121,74,59
2023-03-05 10,중구,111121,80,67
2023-03-05 11,중구,111121,92,77
2023-03-05 12,중구,111121,94,77
2023-03-05 13,중구,111121,94,71
2023-03-05 14,중구,111121,88,64
2023-03-05 15,중구,111121,92,71
2023-03-05 16,중구,111121,97,73
2023-03-05 17,중구,111121,73,54
2023-03-05 18,중구,111121,39,21
2023-03-05 19,중구,111121,30,17
2023-03-05 20,중구,111121,28,17
2023-03-05 21,중구,111121,37,26
2023-03-05 22,중구,111121,41,28
2023-03-05 23,중구,111121,46,34
2023-03-05 24,중구,111121,45,31
2023-03-06 01,중구,111121,49,32
2023-03-06 02,중구,111121,49,34
2023-03-06 03,중구,111121,50,37
2023-03-06 04,중구,111121,45,35
2023-03-06 05,중구,111121,46,37
2023-03-06 06,중구,111121,45,35
2023-03-06 07,중구,111121,46,36
2023-03-06 08,중구,111121,49,37
2023-03-06 09,중구,111121,55,41
2023-03-06 10,중구,111121,58,42
2023-03-06 11,중구,111121,66,45
2023-03-06 12,중구,111121,55,34
2023-03-06 13,중구,111121,62,39
2023-03-06 14,중구,111121,54,34
2023-03-06 15,중구,111121,43,26
2023-03-06 16,중구,111121,43,28
2023-03-06 17,중구,111121,57,37
2023-03-06 18,중구,111121,50,32
2023-03-06 19,중구,111121,54,37
2023-03-06 20,중구,111121,47,34
2023-03-06 21,중구,111121,46,31
2023-03-06 22,중구,111121,45,30
2023-03-06 23,중구,111121,43,26
2023-03-06 24,중구,111121,43,31
2023-03-07 01,중구,111121,45,33
2023-03-07 02,중구,111121,43,30
2023-03-07 03,중구,111121,42,31
2023-03-07 04,중구,111121,44,32
2023-03-07 05,중구,111121,48,32
2023-03-07 06,중구,111121,46,34
2023-03-07 07,중구,111121,49,37
2023-03-07 08,중구,111121,50,33
2023-03-07 09,중구,111121,50,33
2023-03-07 10,중구,111121,51,33
2023-03-07 11,중구,111121,53,35
2023-03-07 12,중구,111121,52,32
2023-03-07 13,중구,111121,59,36
2023-03-07 14,중구,111121,63,36
2023-03-07 15,중구,111121,69,41
2023-03-07 16,중구,111121,68,36
2023-03-07 17,중구,111121,67,35
2023-03-07 18,중구,111121,62,30
2023-03-07 19,중구,111121,69,30
2023-03-07 20,중구,111121,69,33
2023-03-07 21,중구,111121,72,38
2023-03-07 22,중구,111121,71,37
2023-03-07 23,중구,111121,68,35
2023-03-07 24,중구,111121,61,31
2023-03-08 01,중구,111121,69,36
2023-03-08 02,중구,111121,66,37
2023-03-08 03,중구,111121,71,42
2023-03-08 04,중구,111121,77,48
2023-03-08 05,중구,111121,80,51
2023-03-08 06,중구,111121,67,45
2023-03-08 07,중구,111121,65,41
2023-03-08 08,중구,111121,57,36
2023-03-08 09,중구,111121,61,35
2023-03-08 10,중구,111121,59,36
2023-03-08 11,중구,111121,57,30
2023-03-08 12,중구,111121,48,17
2023-03-08 13,중구,111121,58,27
2023-03-08 14,중구,111121,59,31
2023-03-08 15,중구,111121,56,28
2023-03-08 16,중구,111121,54,25
2023-03-08 17,중구,111121,54,25
2023-03-08 18,중구,111121,55,25
2023-03-08 19,중구,111121,58,23
2023-03-08 20,중구,111121,56,29
2023-03-08 21,중구,111121,53,27
2023-03-08 22,중구,111121,43,20
2023-03-08 23,중구,111121,44,20
2023-03-08 24,중구,111121,42,21
2023-03-09 01,중구,111121,61,22
2023-03-09 02,중구,111121,51,23
2023-03-09 03,중구,111121,46,29
2023-03-09 04,중구,111121,42,24
2023-03-09 05,중구,111121,42,23
2023-03-09 06,중구,111121,31,14
2023-03-09 07,중구,111121,28,9
2023-03-09 08,중구,111121,42,17
2023-03-09 09,중구,111121,68,32
2023-03-09 10,중구,111121,56,37
2023-03-09 11,중구,111121,56,40
2023-03-09 12,중구,111121,68,55
2023-03-09 13,중구,111121,76,65
2023-03-09 14,중구,111121,82,72
2023-03-09 15,중구,111121,80,67
2023-03-09 16,중구,111121,71,61
2023-03-09 17,중구,111121,69,62
2023-03-09 18,중구,111121,65,56
2023-03-09 19,중구,111121,69,60
2023-03-09 20,중구,111121,72,62
2023-03-09 21,중구,111121,78,67
2023-03-09 22,중구,111121,81,68
2023-03-09 23,중구,111121,83,70
2023-03-09 24,중구,111121,80,69
2023-03-10 01,중구,111121,81,68
2023-03-10 02,중구,111121,81,67
2023-03-10 03,중구,111121,84,68
2023-03-10 04,중구,111121,84,69
2023-03-10 05,중구,111121,92,76
