날짜,측정소명,측정소코드,PM10,PM2.5
2023-03-01 01,강남구,111261,26,17
2023-03-01 02,강남구,111261,28,17
2023-03-01 03,강남구,111261,27,15
2023-03-01 04,강남구,111261,27,17
2023-03-01 05,강남구,111261,32,23
2023-03-01 06,강남구,111261,32,21
2023-03-01 07,강남구,111261,32,20
2023-03-01 08,강남구,111261,33,21
2023-03-01 09,강남구,111261,33,21
2023-03-01 10,강남구,111261,35,20
2023-03-01 11,강남구,111261,30,16
2023-03-01 12,강남구,111261,27,15
2023-03-01 13,강남구,111261,36,19
2023-03-01 14,강남구,111261,44,25
2023-03-01 15,강남구,111261,51,28
2023-03-01 16,강남구,111261,54,26
2023-03-01 17,강남구,111261,45,17
2023-03-01 18,강남구,111261,41,12
2023-03-01 19,강남구,111261,39,9
2023-03-01 20,강남구,111261,29,8
2023-03-01 21,강남구,111261,27,6
2023-03-01 22,강남구,111261,25,9
2023-03-01 23,강남구,111261,27,10
2023-03-01 24,강남구,111261,27,10
2023-03-02 01,강남구,111261,30,14
2023-03-02 02,강남구,111261,27,12
2023-03-02 03,강남구,111261,26,12
2023-03-02 04,강남구,111261,30,9
2023-03-02 05,강남구,111261,37,8
2023-03-02 06,강남구,111261,47,8
2023-03-02 07,강남구,111261,54,10
2023-03-02 08,강남구,111261,56,9
2023-03-02 09,강남구,111261,61,11
2023-03-02 10,강남구,111261,66,9
2023-03-02 11,강남구,111261,66,9
2023-03-02 12,강남구,111261,64,8
2023-03-02 13,강남구,111261,67,12
2023-03-02 14,강남구,111261,59,9
2023-03-02 15,강남구,111261,56,11
2023-03-02 16,강남구,111261,48,8
2023-03-02 17,강남구,111261,50,11
2023-03-02 18,강남구,111261,49,13
2023-03-02 19,강남구,111261,45,14
2023-03-02 20,강남구,111261,40,12
2023-03-02 21,강남구,111261,38,12
2023-03-02 22,강남구,111261,33,11
2023-03-02 23,강남구,111261,31,10
2023-03-02 24,강남구,111261,30,10
2023-03-03 01,강남구,111261,34,15
2023-03-03 02,강남구,111261,29,11
2023-03-03 03,강남구,111261,31,13
2023-03-03 04,강남구,111261,30,12
2023-03-03 05,강남구,111261,32,15
2023-03-03 06,강남구,111261,28,12
2023-03-03 07,강남구,111261,29,14
2023-03-03 08,강남구,111261,31,14
2023-03-03 09,강남구,111261,34,13
2023-03-03 10,강남구,111261,33,13
2023-03-03 11,강남구,111261,33,12
